n	std_alloc_us	pmr_monotonic_us	pmr_pool_us	speedup_mono	speedup_pool
1000	44.5	7.52	23.0	5.92	1.93
10000	531	160	803	3.32	0.66
100000	7396	3898	7462	1.90	0.99
